frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
0,0,0.001000,22.2413,44.961,0.000000,0.000000,0.000000,0.0000,0.223478,0.000355,0.000355,0.000000,True
1,0,0.023246,2.5430,393.236,0.000000,0.000000,0.000000,0.0000,0.223012,0.001265,0.001265,0.000000,True
2,0,0.025789,2.5844,386.937,0.000000,0.000000,0.000000,0.0000,0.223005,0.001008,0.001008,0.000000,True
3,0,0.028374,2.5227,396.401,0.000000,0.000000,0.000000,0.0000,0.222864,0.000908,0.000908,0.000000,True
4,0,0.030897,2.4631,405.992,0.000000,0.000000,0.000000,0.0000,0.222808,0.000857,0.000857,0.000000,True
5,0,0.033361,2.4358,410.543,0.000000,0.000000,0.000000,0.0000,0.222887,0.000816,0.000816,0.000000,True
6,0,0.035797,2.5269,395.742,0.000000,0.000000,0.000000,0.0000,0.223065,0.000784,0.000784,0.000000,True
7,0,0.038324,2.5100,398.406,0.000000,0.000000,0.000000,0.0000,0.223250,0.000812,0.000812,0.000000,True
8,0,0.040835,2.5067,398.931,0.000000,0.000000,0.000000,0.0000,0.223442,0.000866,0.000866,0.000000,True
9,0,0.043343,2.8995,344.887,0.000000,0.000000,0.000000,0.0000,0.223629,0.000926,0.000926,0.000000,True
10,0,0.046243,2.5136,397.836,0.000000,0.000000,0.000000,0.0000,0.223786,0.001011,0.001011,0.000000,True
11,0,0.048757,2.4609,406.355,0.000000,0.000000,0.000000,0.0000,0.223955,0.001058,0.001058,0.000000,True
12,0,0.051218,2.4574,406.934,0.000000,0.000000,0.000000,0.0000,0.224087,0.001101,0.001101,0.000000,True
13,0,0.053676,2.4570,407.000,0.000000,0.000000,0.000000,0.0000,0.224200,0.001139,0.001139,0.000000,True
14,0,0.056134,2.4761,403.861,0.000000,0.000000,0.000000,0.0000,0.224302,0.001169,0.001169,0.000000,True
15,0,0.058610,2.5168,397.330,0.000000,0.000000,0.000000,0.0000,0.224394,0.001190,0.001190,0.000000,True
16,0,0.061127,2.6197,381.723,0.000000,0.000000,0.000000,0.0000,0.224480,0.001199,0.001199,0.000000,True
17,0,0.063747,2.4843,402.528,0.000000,0.000000,0.000000,0.0000,0.224571,0.001196,0.001196,0.000000,True
18,0,0.066232,2.5254,395.977,0.000000,0.000000,0.000000,0.0000,0.224674,0.001170,0.001170,0.000000,True
19,0,0.068758,2.5095,398.486,0.000000,0.000000,0.000000,0.0000,0.224791,0.001129,0.001129,0.000000,True
20,0,0.071268,2.5526,391.757,0.000000,0.000000,0.000000,0.0000,0.224880,0.001121,0.001121,0.000000,True
21,0,0.073822,2.7899,358.436,0.000000,0.000000,0.000000,0.0000,0.224918,0.001172,0.001172,0.000000,True
22,0,0.076612,2.6536,376.847,0.000000,0.000000,0.000000,0.0000,0.224904,0.001255,0.001255,0.000000,True
23,0,0.079266,2.4869,402.107,0.000000,0.000000,0.000000,0.0000,0.224851,0.001330,0.001330,0.000000,True
24,0,0.081754,2.5425,393.314,0.000000,0.000000,0.000000,0.0000,0.224775,0.001390,0.001390,0.000000,True
25,0,0.084297,2.6207,381.577,0.000000,0.000000,0.000000,0.0000,0.224672,0.001453,0.001453,0.000000,True
26,0,0.086918,2.5348,394.509,0.000000,0.000000,0.000000,0.0000,0.224558,0.001512,0.001512,0.000000,True
27,0,0.089453,2.5480,392.465,0.000000,0.000000,0.000000,0.0000,0.224452,0.001549,0.001549,0.000000,True
28,0,0.092001,2.6224,381.330,0.000000,0.000000,0.000000,0.0000,0.224359,0.001577,0.001577,0.000000,True
29,0,0.094624,2.5229,396.369,0.000000,0.000000,0.000000,0.0000,0.224303,0.001595,0.001595,0.000000,True
30,0,0.097147,2.8741,347.935,0.000000,0.000000,0.000000,0.0000,0.224258,0.001588,0.001588,0.000000,True
31,0,0.100022,2.7299,366.314,0.000000,0.000000,0.000000,0.0000,0.224237,0.001576,0.001576,0.000000,True
32,0,0.102753,2.5370,394.166,0.000000,0.000000,0.000000,0.0000,0.224262,0.001525,0.001525,0.000000,True
33,0,0.105290,2.5275,395.648,0.000000,0.000000,0.000000,0.0000,0.224299,0.001496,0.001496,0.000000,True
34,0,0.107818,2.7771,360.088,0.000000,0.000000,0.000000,0.0000,0.224308,0.001543,0.001543,0.000000,True
35,0,0.110595,2.5127,397.978,0.000000,0.000000,0.000000,0.0000,0.224272,0.001629,0.001629,0.000000,True
36,0,0.113108,2.5136,397.836,0.000000,0.000000,0.000000,0.0000,0.224191,0.001700,0.001700,0.000000,True
37,0,0.115622,2.5067,398.931,0.000000,0.000000,0.000000,0.0000,0.224083,0.001771,0.001771,0.000000,True
38,0,0.118129,2.5625,390.244,0.000000,0.000000,0.000000,0.0000,0.223958,0.001835,0.001835,0.000000,True
39,0,0.120692,2.5377,394.058,0.000000,0.000000,0.000000,0.0000,0.223842,0.001896,0.001896,0.000000,True
40,0,0.123230,2.5662,389.681,0.000000,0.000000,0.000000,0.0000,0.223712,0.001941,0.001941,0.000000,True
41,0,0.125797,2.5302,395.226,0.000000,0.000000,0.000000,0.0000,0.223595,0.001974,0.001974,0.000000,True
42,0,0.128327,2.5347,394.524,0.000000,0.000000,0.000000,0.0000,0.223506,0.001989,0.001989,0.000000,True
43,0,0.130863,2.4735,404.285,0.000000,0.000000,0.000000,0.0000,0.223451,0.001988,0.001988,0.000000,True
44,0,0.133336,2.5320,394.945,0.000000,0.000000,0.000000,0.0000,0.223429,0.001966,0.001966,0.000000,True
